Longitude,Latitude
100.657,3.419
100.663,3.415
100.668,3.411
100.673,3.407
100.684,3.399
100.689,3.396
100.694,3.391
100.707,3.382
100.712,3.378
100.717,3.375
100.727,3.367
100.734,3.362
100.738,3.359
100.749,3.351
100.755,3.346
100.76,3.343
100.771,3.334
100.775,3.331
100.781,3.327
100.786,3.323
100.797,3.314
100.802,3.311
100.814,3.302
100.818,3.299
100.824,3.294
100.829,3.291
100.841,3.282
100.846,3.278
100.852,3.274
100.862,3.266
100.867,3.262
100.874,3.257
100.879,3.253
100.89,3.245
100.896,3.24
100.902,3.236
100.907,3.232
100.918,3.224
100.923,3.219
100.929,3.215
100.94,3.207
100.945,3.203
100.951,3.199
100.956,3.195
100.966,3.187
100.972,3.183
100.983,3.175
100.988,3.171
100.994,3.167
100.999,3.163
101.01,3.154
101.016,3.15
101.021,3.146
101.026,3.142
101.037,3.134
101.043,3.13
101.049,3.125
101.06,3.117
101.065,3.113
101.07,3.109
101.076,3.105
101.086,3.097
101.092,3.092
101.097,3.089
101.108,3.08
101.114,3.076
101.119,3.072
101.124,3.068
101.135,3.06
101.141,3.056
101.151,3.048
101.157,3.044
101.162,3.04
101.173,3.031
101.177,3.028
101.183,3.024
101.194,3.016
101.2,3.011
101.204,3.008
101.215,3.0
101.221,2.996
101.226,2.991
101.232,2.987
101.243,2.979
101.249,2.975
101.258,2.968
101.264,2.963
101.27,2.959
101.275,2.955
101.286,2.946
101.292,2.942
101.297,2.938
101.308,2.93
101.313,2.926
101.318,2.922
101.329,2.914
101.334,2.91
101.34,2.906
101.35,2.898
101.356,2.894
101.362,2.889
101.367,2.886
101.379,2.877
101.384,2.873
101.389,2.869
101.4,2.861
101.405,2.857
101.411,2.853
101.422,2.844
101.432,2.836
101.448,2.824
101.46,2.816
101.471,2.807
101.481,2.8
101.497,2.787
101.503,2.783
101.519,2.771
101.523,2.768
101.541,2.755
101.547,2.75
101.556,2.743
101.556,2.743
101.568,2.734
101.578,2.727
101.58,2.725
101.592,2.716
101.602,2.708
101.61,2.702
101.62,2.695
101.636,2.683
101.647,2.675
101.657,2.667
101.668,2.659
101.673,2.655
101.684,2.647
101.694,2.639
101.704,2.631
101.715,2.623
101.721,2.619
101.748,2.599
101.757,2.592
101.763,2.587
101.773,2.58
101.78,2.575
101.79,2.567
101.795,2.563
101.8,2.559
101.816,2.547
101.828,2.538
101.838,2.531
101.849,2.522
101.859,2.515
101.87,2.507
101.88,2.499
101.891,2.491
101.896,2.487
101.906,2.479
101.917,2.471
101.927,2.463
101.932,2.46
101.937,2.456
101.953,2.444
101.963,2.436
101.973,2.429
101.979,2.425
101.989,2.417
101.994,2.413
102.004,2.405
102.01,2.401
102.014,2.398
102.025,2.39
102.029,2.387
102.035,2.382
102.045,2.375
102.05,2.371
102.055,2.367
102.065,2.359
102.071,2.355
102.086,2.344
102.095,2.337
102.106,2.329
102.11,2.326
102.12,2.318
102.125,2.315
102.13,2.311
102.139,2.304
102.144,2.3
102.154,2.293
102.159,2.288
102.165,2.284
102.174,2.277
102.178,2.274
102.184,2.27
102.189,2.266
102.199,2.259
102.204,2.255
102.213,2.248
102.223,2.24
102.228,2.237
102.238,2.23
102.242,2.226
102.248,2.222
102.257,2.215
102.262,2.211
102.266,2.208
102.281,2.197
102.286,2.193
102.295,2.186
102.3,2.182
102.31,2.175
102.314,2.172
102.319,2.168
102.328,2.162
102.333,2.158
102.338,2.154
102.347,2.147
102.352,2.144
102.357,2.14
102.366,2.132
102.371,2.129
102.375,2.126
102.385,2.119
102.394,2.112
102.403,2.105
102.408,2.101
102.412,2.098
102.421,2.091
102.426,2.087
102.43,2.084
102.435,2.081
102.444,2.074
102.449,2.07
102.454,2.067
102.463,2.06
102.468,2.056
102.476,2.05
102.481,2.046
102.485,2.043
102.495,2.036
102.499,2.033
102.503,2.029
102.513,2.022
102.517,2.019
102.521,2.016
102.531,2.008
102.535,2.005
102.54,2.002
102.543,2.0
102.553,1.992
102.557,1.989
102.562,1.985
102.571,1.978
102.576,1.975
102.58,1.972
102.589,1.965
102.593,1.961
102.597,1.958
102.606,1.952
102.611,1.948
102.615,1.945
102.624,1.938
102.628,1.935
102.632,1.932
102.64,1.926
102.646,1.922
102.65,1.919
102.658,1.913
102.663,1.909
102.667,1.906
102.675,1.9
102.68,1.896
102.685,1.893
102.693,1.886
102.696,1.884
102.7,1.881
102.706,1.877
102.714,1.87
102.716,1.869
102.727,1.861
102.731,1.858
102.736,1.854
102.744,1.848
102.749,1.845
102.752,1.842
102.757,1.838
102.765,1.832
102.77,1.829
102.774,1.825
102.782,1.82
102.787,1.816
102.791,1.813
102.799,1.806
102.803,1.803
102.808,1.8
102.816,1.794
102.819,1.791
102.824,1.787
102.833,1.781
102.837,1.778
102.841,1.775
102.849,1.769
102.852,1.766
102.86,1.76
102.864,1.757
102.868,1.754
102.876,1.749
102.88,1.746
102.885,1.742
102.894,1.737
102.898,1.734
102.901,1.732
102.908,1.729
102.917,1.724
102.92,1.722
102.93,1.716
102.934,1.714
102.939,1.711
102.948,1.707
102.953,1.704
102.957,1.702
102.962,1.7
102.97,1.695
102.975,1.693
102.98,1.69
102.988,1.685
102.993,1.683
103.001,1.678
103.006,1.676
103.01,1.673
103.015,1.671
103.024,1.666
103.027,1.665
103.033,1.661
103.041,1.657
103.045,1.655
103.05,1.652
103.054,1.65
103.062,1.646
103.067,1.643
103.071,1.641
103.08,1.636
103.083,1.635
103.092,1.629
103.096,1.626
103.103,1.62
103.107,1.616
103.11,1.613
103.119,1.603
103.123,1.599
103.125,1.595
103.13,1.586
103.133,1.582
103.134,1.578
103.139,1.568
103.14,1.564
103.142,1.559
103.144,1.554
103.148,1.545
103.153,1.532
103.155,1.528
