Longitude,Latitude
104.963,4.677
104.962,4.67
104.96,4.663
104.957,4.649
104.956,4.643
104.955,4.636
104.952,4.623
104.951,4.615
104.948,4.602
104.945,4.588
104.944,4.582
104.941,4.568
104.94,4.561
104.938,4.551
104.934,4.534
104.932,4.52
104.928,4.5
104.927,4.493
104.923,4.474
104.921,4.466
104.919,4.453
104.918,4.447
104.916,4.438
104.913,4.425
104.912,4.42
104.911,4.411
104.908,4.397
104.907,4.393
104.906,4.385
104.903,4.372
104.901,4.363
104.9,4.356
104.898,4.345
104.897,4.339
104.895,4.329
104.892,4.316
104.891,4.308
104.889,4.299
104.886,4.283
104.884,4.274
104.883,4.265
104.881,4.256
104.879,4.244
104.875,4.228
104.872,4.209
104.87,4.2
104.869,4.193
104.866,4.178
104.865,4.171
104.862,4.159
104.861,4.152
104.86,4.145
104.859,4.138
104.857,4.125
104.856,4.121
104.854,4.104
104.853,4.097
104.852,4.09
104.852,4.083
104.85,4.069
104.849,4.062
104.849,4.055
104.848,4.049
104.847,4.035
104.846,4.029
104.845,4.015
104.844,4.007
104.844,4.005
104.842,3.994
104.841,3.977
104.84,3.971
104.839,3.965
104.839,3.959
104.837,3.946
104.836,3.932
104.835,3.925
104.834,3.917
104.834,3.912
104.832,3.897
104.832,3.89
104.831,3.885
104.83,3.87
104.829,3.864
104.828,3.857
104.827,3.843
104.826,3.836
104.826,3.831
104.824,3.817
104.824,3.811
104.823,3.804
104.822,3.791
104.821,3.785
104.82,3.779
104.819,3.765
104.818,3.759
104.818,3.753
104.816,3.741
104.815,3.733
104.815,3.729
104.814,3.722
104.813,3.707
104.812,3.701
104.811,3.694
104.809,3.681
104.808,3.675
104.807,3.669
104.806,3.665
104.802,3.646
104.801,3.64
104.799,3.634
104.796,3.622
104.795,3.617
104.793,3.607
104.791,3.6
104.789,3.594
104.787,3.581
104.785,3.575
104.784,3.569
104.781,3.556
104.78,3.551
104.778,3.544
104.776,3.533
104.775,3.531
104.772,3.516
104.771,3.509
104.769,3.503
104.767,3.49
104.765,3.484
104.764,3.479
104.762,3.466
104.76,3.46
104.759,3.456
104.757,3.442
104.755,3.436
104.754,3.429
104.752,3.417
104.75,3.411
104.749,3.404
104.748,3.398
104.745,3.386
104.744,3.38
104.743,3.374
104.74,3.362
104.739,3.356
104.738,3.349
104.735,3.337
104.734,3.331
104.733,3.325
104.73,3.313
104.729,3.307
104.727,3.301
104.725,3.288
104.724,3.282
104.722,3.277
104.721,3.271
104.719,3.258
104.717,3.253
104.716,3.246
104.712,3.234
